Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
HR 35000 - Human Rights Capstone Seminar  ,HR,HR 35000 , Human Rights Capstone Seminar  ,35000 ,Human Rights
HUM 15000 - Introductory Topics in Humanities and the Arts ,HUM,HUM 15000 , Introductory Topics in Humanities and the Arts ,15000 ,Humanities and The Arts
HUM 20100 - Explorations in the Arts ,HUM,HUM 20100 , Explorations in the Arts ,20100 ,Humanities and The Arts
HUM 25000 - Intermediate Topics in Humanities and the Arts ,HUM,HUM 25000 , Intermediate Topics in Humanities and the Arts ,25000 ,Humanities and The Arts
HUM 35000 - Advanced Topics in Humanities and the Arts ,HUM,HUM 35000 , Advanced Topics in Humanities and the Arts ,35000 ,Humanities and The Arts
JPN 10100 - Elementary Japanese I ,JPN,JPN 10100 , Elementary Japanese I ,10100 ,Japanese
JPN 10200 - Elementary Japanese II ,JPN,JPN 10200 , Elementary Japanese II ,10200 ,Japanese
JPN 20100 - Intermediate Japanese I ,JPN,JPN 20100 , Intermediate Japanese I ,20100 ,Japanese
JPN 20200 - Intermediate Japanese II ,JPN,JPN 20200 , Intermediate Japanese II ,20200 ,Japanese
JPN 25100 - Japanese Culture Before 1600 ,JPN,JPN 25100 , Japanese Culture Before 1600 ,25100 ,Japanese
JPN 25200 - Japanese Culture Since 1600 ,JPN,JPN 25200 , Japanese Culture Since 1600 ,25200 ,Japanese
JPN 26100 - Special Topics in Japanese Culture ,JPN,JPN 26100 , Special Topics in Japanese Culture ,26100 ,Japanese
JPN 27100 - Japanese Reading: Recitation and Comprehension ,JPN,JPN 27100 , Japanese Reading: Recitation and Comprehension ,27100 ,Japanese
JPN 30100 - Advanced Japanese I ,JPN,JPN 30100 , Advanced Japanese I ,30100 ,Japanese
JPN 30200 - Advanced Japanese II ,JPN,JPN 30200 , Advanced Japanese II ,30200 ,Japanese
JPN 35100 - Advanced Japanese Conversation ,JPN,JPN 35100 , Advanced Japanese Conversation ,35100 ,Japanese
JPN 42101 - Independent Study in Japanese ,JPN,JPN 42101 , Independent Study in Japanese ,42101 ,Japanese
JPN 42102 - Independent Study in Japanese ,JPN,JPN 42102 , Independent Study in Japanese ,42102 ,Japanese
JPN 42103 - Independent Study in Japanese ,JPN,JPN 42103 , Independent Study in Japanese ,42103 ,Japanese
JS 30000 - Independent Studies ,JS,JS 30000 , Independent Studies ,30000 ,Japanese
JS 31000 - Jewish Studies Fieldwork ,JS,JS 31000 , Jewish Studies Fieldwork ,31000 ,Japanese
JS 40000 - Individual Honors Project ,JS,JS 40000 , Individual Honors Project ,40000 ,Japanese
JS 41050 - Jewish Studies Seminar I ,JS,JS 41050 , Jewish Studies Seminar I ,41050 ,Japanese
JS 41051 - Jewish Studies Seminar II ,JS,JS 41051 , Jewish Studies Seminar II ,41051 ,Japanese
LAT 10100 - Beginning Latin ,LAT,LAT 10100 , Beginning Latin ,10100 ,Latin
LAT 10200 - Beginning Latin ,LAT,LAT 10200 , Beginning Latin ,10200 ,Latin
"LAT 10700 - Beginning Latin, Intensive ",LAT,LAT 10700 ," Beginning Latin, Intensive ",10700 ,Latin
LAT 20100 - Ovid's Metamorphoses ,LAT,LAT 20100 , Ovid's Metamorphoses ,20100 ,Latin
LAT 20200 - Roman Biography ,LAT,LAT 20200 , Roman Biography ,20200 ,Latin
LAT 20300 - Vergil's Aeneid ,LAT,LAT 20300 , Vergil's Aeneid ,20300 ,Latin
LAT 20400 - Cicero's De Senectute ,LAT,LAT 20400 , Cicero's De Senectute ,20400 ,Latin
LAT 21100 - Latin Reading: Prose ,LAT,LAT 21100 , Latin Reading: Prose ,21100 ,Latin
LAT 21100 - Latin Reading: Prose ,LAT,LAT 21100 , Latin Reading: Prose ,21100 ,Latin
LAT 21200 - Latin Reading: Poetry ,LAT,LAT 21200 , Latin Reading: Poetry ,21200 ,Latin
LAT 22000 - Medieval Latin ,LAT,LAT 22000 , Medieval Latin ,22000 ,Latin
LAT 30200 - Roman Letter ,LAT,LAT 30200 , Roman Letter ,30200 ,Latin
LAT 30300 - Roman Comedy ,LAT,LAT 30300 , Roman Comedy ,30300 ,Latin
LAT 30400 - Roman Satire ,LAT,LAT 30400 , Roman Satire ,30400 ,Latin
LAT 30500 - Vergil's Eclogues and Georgics ,LAT,LAT 30500 , Vergil's Eclogues and Georgics ,30500 ,Latin
LAT 30600 - Cicero ,LAT,LAT 30600 , Cicero ,30600 ,Latin
LAT 30700 - Lucretius'  De Rerum Natura ,LAT,LAT 30700 , Lucretius'  De Rerum Natura ,30700 ,Latin
LAT 30800 - Roman Epic ,LAT,LAT 30800 , Roman Epic ,30800 ,Latin
LAT 30900 - Lyric Poetry of the Golden Age ,LAT,LAT 30900 , Lyric Poetry of the Golden Age ,30900 ,Latin
LAT 31000 - The Roman Novel ,LAT,LAT 31000 , The Roman Novel ,31000 ,Latin
LAT 31100 - Elegiac Poets ,LAT,LAT 31100 , Elegiac Poets ,31100 ,Latin
LAT 31200 - Livy ,LAT,LAT 31200 , Livy ,31200 ,Latin
LAT 31300 - Caesar ,LAT,LAT 31300 , Caesar ,31300 ,Latin
LAT 31400 - Tacitus ,LAT,LAT 31400 , Tacitus ,31400 ,Latin
LAT 32000 - Topics in Latin Literature ,LAT,LAT 32000 , Topics in Latin Literature ,32000 ,Latin
LAT 42100 - Independent Study in Latin Literature ,LAT,LAT 42100 , Independent Study in Latin Literature ,42100 ,Latin
LACS 33000 - Latin America and the Caribbean Field Course/Internship ,LACS,LACS 33000 , Latin America and the Caribbean Field Course/Internship ,33000 ,Latin American and Caribbean Studies
LACS 43400 - Seminar in Latin American and Caribbean Studies ,LACS,LACS 43400 , Seminar in Latin American and Caribbean Studies ,43400 ,Latin American and Caribbean Studies
"MHC 10000 - MHC Seminar 1, The Arts in New York City  ",MHC,MHC 10000 ," MHC Seminar 1, The Arts in New York City  ",10000 ,Macaulay Honors
MHC 15000 - MHC Seminar 2: Peopling of New York  ,MHC,MHC 15000 , MHC Seminar 2: Peopling of New York  ,15000 ,Macaulay Honors
MHC 20000 - MHC Seminar 3: Science and Technology  ,MHC,MHC 20000 , MHC Seminar 3: Science and Technology  ,20000 ,Macaulay Honors
MHC 25000 - MHC Seminar 4: Shaping the Future of New York City  ,MHC,MHC 25000 , MHC Seminar 4: Shaping the Future of New York City  ,25000 ,Macaulay Honors
MATH 10000 - Basic Structures of Mathematics ,MATH,MATH 10000 , Basic Structures of Mathematics ,10000 ,Mathematics and Statistics
MATH 10100 - Algebra for College Students ,MATH,MATH 10100 , Algebra for College Students ,10100 ,Mathematics and Statistics
MATH 10200 - Mathematics and Everyday Life ,MATH,MATH 10200 , Mathematics and Everyday Life ,10200 ,Mathematics and Statistics
MATH 10400  - Mathematics for Elementary Education I ,MATH,MATH 10400  , Mathematics for Elementary Education I ,10400  ,Mathematics and Statistics
MATH 10500 - Mathematics for Elementary Education II ,MATH,MATH 10500 , Mathematics for Elementary Education II ,10500 ,Mathematics and Statistics
MATH 11000 - Topics in the Mathematical Sciences ,MATH,MATH 11000 , Topics in the Mathematical Sciences ,11000 ,Mathematics and Statistics
"MATH 11100 - Matrices, Vectors and Linear Programming ",MATH,MATH 11100 ," Matrices, Vectors and Linear Programming ",11100 ,Mathematics and Statistics
MATH 12500  - Precalculus ,MATH,MATH 12500  , Precalculus ,12500  ,Mathematics and Statistics
MATH 12600 - Precalculus Technology Laboratory ,MATH,MATH 12600 , Precalculus Technology Laboratory ,12600 ,Mathematics and Statistics
MATH 15000  - Calculus with Analytic Geometry I ,MATH,MATH 15000  , Calculus with Analytic Geometry I ,15000  ,Mathematics and Statistics
MATH 15400 - An Introduction to Symbolic Computation ,MATH,MATH 15400 , An Introduction to Symbolic Computation ,15400 ,Mathematics and Statistics
MATH 15500  - Calculus with Analytic Geometry II ,MATH,MATH 15500  , Calculus with Analytic Geometry II ,15500  ,Mathematics and Statistics
MATH 15600 - Introduction to Mathematical Proof Workshop ,MATH,MATH 15600 , Introduction to Mathematical Proof Workshop ,15600 ,Mathematics and Statistics
MATH 16000 - Matrix Algebra ,MATH,MATH 16000 , Matrix Algebra ,16000 ,Mathematics and Statistics
MATH 25000 - Calculus with Analytic Geometry III ,MATH,MATH 25000 , Calculus with Analytic Geometry III ,25000 ,Mathematics and Statistics
MATH 25400 - Ordinary Differential Equations ,MATH,MATH 25400 , Ordinary Differential Equations ,25400 ,Mathematics and Statistics
MATH 25500 - Vector Analysis ,MATH,MATH 25500 , Vector Analysis ,25500 ,Mathematics and Statistics
MATH 26000 - Linear Algebra ,MATH,MATH 26000 , Linear Algebra ,26000 ,Mathematics and Statistics
MATH 27500 - Symbolic Logic ,MATH,MATH 27500 , Symbolic Logic ,27500 ,Mathematics and Statistics
MATH 29500 - Intermediate Topics in Mathematics ,MATH,MATH 29500 , Intermediate Topics in Mathematics ,29500 ,Mathematics and Statistics
MATH 30100 - Mathematical Methods for the Physical Sciences ,MATH,MATH 30100 , Mathematical Methods for the Physical Sciences ,30100 ,Mathematics and Statistics
MATH 31100 - Abstract Algebra I ,MATH,MATH 31100 , Abstract Algebra I ,31100 ,Mathematics and Statistics
MATH 31200 - Abstract Algebra II ,MATH,MATH 31200 , Abstract Algebra II ,31200 ,Mathematics and Statistics
MATH 31300 - Theory of Numbers ,MATH,MATH 31300 , Theory of Numbers ,31300 ,Mathematics and Statistics
MATH 33100 - Geometries ,MATH,MATH 33100 , Geometries ,33100 ,Mathematics and Statistics
MATH 34000 - Topology ,MATH,MATH 34000 , Topology ,34000 ,Mathematics and Statistics
MATH 35100 - Mathematical Analysis I ,MATH,MATH 35100 , Mathematical Analysis I ,35100 ,Mathematics and Statistics
MATH 35200 - Mathematical Analysis II ,MATH,MATH 35200 , Mathematical Analysis II ,35200 ,Mathematics and Statistics
MATH 35300 - Introduction To Complex Variables ,MATH,MATH 35300 , Introduction To Complex Variables ,35300 ,Mathematics and Statistics
MATH 35400 - Dynamical Systems and Chaos ,MATH,MATH 35400 , Dynamical Systems and Chaos ,35400 ,Mathematics and Statistics
MATH 37000 - Mathematical Logic ,MATH,MATH 37000 , Mathematical Logic ,37000 ,Mathematics and Statistics
MATH 37100 - Fundamental Concepts of Modern Mathematics ,MATH,MATH 37100 , Fundamental Concepts of Modern Mathematics ,37100 ,Mathematics and Statistics
MATH 37200 - Logic and Computers ,MATH,MATH 37200 , Logic and Computers ,37200 ,Mathematics and Statistics
MATH 37600 - Philosophy of Mathematics  ,MATH,MATH 37600 , Philosophy of Mathematics  ,37600 ,Mathematics and Statistics
MATH 37700 - Non-classical Logic ,MATH,MATH 37700 , Non-classical Logic ,37700 ,Mathematics and Statistics
MATH 38500 - Numerical Methods I ,MATH,MATH 38500 , Numerical Methods I ,38500 ,Mathematics and Statistics
MATH 39100 - Independent Study in Mathematics ,MATH,MATH 39100 , Independent Study in Mathematics ,39100 ,Mathematics and Statistics
MATH 39200 - Independent Study in Mathematics ,MATH,MATH 39200 , Independent Study in Mathematics ,39200 ,Mathematics and Statistics
MATH 39300 - Independent Study in Mathematics ,MATH,MATH 39300 , Independent Study in Mathematics ,39300 ,Mathematics and Statistics
MATH 39500 - Advanced Topics in Mathematics ,MATH,MATH 39500 , Advanced Topics in Mathematics ,39500 ,Mathematics and Statistics
MATH 45400 - Calculus on Manifolds ,MATH,MATH 45400 , Calculus on Manifolds ,45400 ,Mathematics and Statistics
MATH 48500 - Numerical Methods II ,MATH,MATH 48500 , Numerical Methods II ,48500 ,Mathematics and Statistics
MATH 49000 - Honors Seminar ,MATH,MATH 49000 , Honors Seminar ,49000 ,Mathematics and Statistics
STAT 11000 - Selected Topics in Elementary Probability and Statistics as Applied to Popular Science and Current Events ,STAT,STAT 11000 , Selected Topics in Elementary Probability and Statistics as Applied to Popular Science and Current Events ,11000 ,Mathematics and Statistics
STAT 11300 - Elementary Probability and Statistics ,STAT,STAT 11300 , Elementary Probability and Statistics ,11300 ,Mathematics and Statistics
STAT 21200 - Discrete Probability ,STAT,STAT 21200 , Discrete Probability ,21200 ,Mathematics and Statistics
STAT 21300  - Introduction to Applied Statistics ,STAT,STAT 21300  , Introduction to Applied Statistics ,21300  ,Mathematics and Statistics
STAT 21400 - Data Analysis Using Statistical Software ,STAT,STAT 21400 , Data Analysis Using Statistical Software ,21400 ,Mathematics and Statistics
STAT 22000 - Statistical Analysis in Forensics ,STAT,STAT 22000 , Statistical Analysis in Forensics ,22000 ,Mathematics and Statistics
STAT 29500 - Intermediate Topics in Statistics ,STAT,STAT 29500 , Intermediate Topics in Statistics ,29500 ,Mathematics and Statistics
STAT 31100 - Probability Theory ,STAT,STAT 31100 , Probability Theory ,31100 ,Mathematics and Statistics
STAT 31200 - Stochastic Processes ,STAT,STAT 31200 , Stochastic Processes ,31200 ,Mathematics and Statistics
STAT 31300 - Introduction to Mathematical Statistics ,STAT,STAT 31300 , Introduction to Mathematical Statistics ,31300 ,Mathematics and Statistics
STAT 31900 - Bayesian Statistical Inference in the Sciences ,STAT,STAT 31900 , Bayesian Statistical Inference in the Sciences ,31900 ,Mathematics and Statistics
STAT 35100 - Advanced Biometrics ,STAT,STAT 35100 , Advanced Biometrics ,35100 ,Mathematics and Statistics
STAT 39100 - Independent Study ,STAT,STAT 39100 , Independent Study ,39100 ,Mathematics and Statistics
STAT 39200 - Independent Study ,STAT,STAT 39200 , Independent Study ,39200 ,Mathematics and Statistics
STAT 39300 - Independent Study ,STAT,STAT 39300 , Independent Study ,39300 ,Mathematics and Statistics
STAT 39500 - Advanced Topics in Statistics ,STAT,STAT 39500 , Advanced Topics in Statistics ,39500 ,Mathematics and Statistics
STAT 48600 - Modeling and Visualization ,STAT,STAT 48600 , Modeling and Visualization ,48600 ,Mathematics and Statistics
MLS 31200 - Human Physiology: Integration and Control ,MLS,MLS 31200 , Human Physiology: Integration and Control ,31200 ,Medical Laboratory Science
MLS 34700 - Human Histology ,MLS,MLS 34700 , Human Histology ,34700 ,Medical Laboratory Science
MLS 40066 - Topics: Biohazards and Emergency Response ,MLS,MLS 40066 , Topics: Biohazards and Emergency Response ,40066 ,Medical Laboratory Science
MLS 40067 - Topics: Medical Technology ,MLS,MLS 40067 , Topics: Medical Technology ,40067 ,Medical Laboratory Science
MLS 45000 - Cell and Tissue Culture ,MLS,MLS 45000 , Cell and Tissue Culture ,45000 ,Medical Laboratory Science
MLS 46000 - Immunology ,MLS,MLS 46000 , Immunology ,46000 ,Medical Laboratory Science
MLS 48001-48003 - Independent Study ,MLS,MLS 48001,48003 - Independent Study ,48001,Medical Laboratory Science
MLS 49000 - Honors ,MLS,MLS 49000 , Honors ,49000 ,Medical Laboratory Science
MLSP 30000 - Fundamental Concepts and Techniques in the Medical Laboratory ,MLSP,MLSP 30000 , Fundamental Concepts and Techniques in the Medical Laboratory ,30000 ,Medical Laboratory Science
MLSP 34900 - Hematology ,MLSP,MLSP 34900 , Hematology ,34900 ,Medical Laboratory Science
MLSP 35100 - Clinical Microbiology I ,MLSP,MLSP 35100 , Clinical Microbiology I ,35100 ,Medical Laboratory Science
MLSP 35200 - Clinical Microbiology II ,MLSP,MLSP 35200 , Clinical Microbiology II ,35200 ,Medical Laboratory Science
MLSP 35400 - Clinical Biochemistry I: Biomolecules & Metabolism ,MLSP,MLSP 35400 , Clinical Biochemistry I: Biomolecules & Metabolism ,35400 ,Medical Laboratory Science
MLSP 35500 - Clinical Biochemistry II: Genes to Proteins ,MLSP,MLSP 35500 , Clinical Biochemistry II: Genes to Proteins ,35500 ,Medical Laboratory Science
MLSP 36100 - Computers and Data Processing in the Medical Laboratory ,MLSP,MLSP 36100 , Computers and Data Processing in the Medical Laboratory ,36100 ,Medical Laboratory Science
MLSP 40000 - Topics in Biomedical Sciences ,MLSP,MLSP 40000 , Topics in Biomedical Sciences ,40000 ,Medical Laboratory Science
MLSP 41000 - Professional Practice ,MLSP,MLSP 41000 , Professional Practice ,41000 ,Medical Laboratory Science
MLSP 43000 - Immunohematology ,MLSP,MLSP 43000 , Immunohematology ,43000 ,Medical Laboratory Science
MLSP 45700 - Senior Seminar ,MLSP,MLSP 45700 , Senior Seminar ,45700 ,Medical Laboratory Science
MUSHL 10100 - A Thousand Years of Listening ,MUSHL,MUSHL 10100 , A Thousand Years of Listening ,10100 ,Music
MUSHL 10700 - The World of Music ,MUSHL,MUSHL 10700 , The World of Music ,10700 ,Music
MUSTH 10100 - Music Theory Fundamentals ,MUSTH,MUSTH 10100 , Music Theory Fundamentals ,10100 ,Music Theory
MUSHL 20100 - Introduction to Music Research ,MUSHL,MUSHL 20100 , Introduction to Music Research ,20100 ,Music
MUSHL 20500 - Music History I ,MUSHL,MUSHL 20500 , Music History I ,20500 ,Music
MUSHL 20600 - Music History II  ,MUSHL,MUSHL 20600 , Music History II  ,20600 ,Music
MUSHL 21000 - Music for the Piano  ,MUSHL,MUSHL 21000 , Music for the Piano  ,21000 ,Music
MUSHL 21200 - Masterpieces of Opera  ,MUSHL,MUSHL 21200 , Masterpieces of Opera  ,21200 ,Music
MUSHL 21700 - History of Jazz  ,MUSHL,MUSHL 21700 , History of Jazz  ,21700 ,Music
MUSHL 22000 - History of Rock ,MUSHL,MUSHL 22000 , History of Rock ,22000 ,Music
MUSHL 22100 - Black Music in the Americas  ,MUSHL,MUSHL 22100 , Black Music in the Americas  ,22100 ,Music
MUSHL 22700 - Master Composers  ,MUSHL,MUSHL 22700 , Master Composers  ,22700 ,Music
MUSHL 23100 - Folk and Traditional Music  ,MUSHL,MUSHL 23100 , Folk and Traditional Music  ,23100 ,Music
MUSHL 24000 - Music of the Caribbean and Latin America  ,MUSHL,MUSHL 24000 , Music of the Caribbean and Latin America  ,24000 ,Music
MUSHL 24100 - Music of Asia  ,MUSHL,MUSHL 24100 , Music of Asia  ,24100 ,Music
MUSHL 24300 - Music of the Middle East ,MUSHL,MUSHL 24300 , Music of the Middle East ,24300 ,Music
MUSHL 24500 - Music of Africa  ,MUSHL,MUSHL 24500 , Music of Africa  ,24500 ,Music
MUSHL 25000 - Women and Music  ,MUSHL,MUSHL 25000 , Women and Music  ,25000 ,Music
MUSHL 25200 - Film Music  ,MUSHL,MUSHL 25200 , Film Music  ,25200 ,Music
MUSHL 26100 - Special Topics in History and Literature of Music  ,MUSHL,MUSHL 26100 , Special Topics in History and Literature of Music  ,26100 ,Music
MUSHL 26200 - Special Topics in Music  ,MUSHL,MUSHL 26200 , Special Topics in Music  ,26200 ,Music
MUSHL 30500 - Music History III  ,MUSHL,MUSHL 30500 , Music History III  ,30500 ,Music
MUSHL 30600 - Music History IV  ,MUSHL,MUSHL 30600 , Music History IV  ,30600 ,Music
MUSHL 35200 - Introduction to Ethnomusicology I  ,MUSHL,MUSHL 35200 , Introduction to Ethnomusicology I  ,35200 ,Music
MUSHL 35300 - Introduction to Ethnomusicology II  ,MUSHL,MUSHL 35300 , Introduction to Ethnomusicology II  ,35300 ,Music
MUSHL 36100 - Special Topics in History and Literature of Music  ,MUSHL,MUSHL 36100 , Special Topics in History and Literature of Music  ,36100 ,Music
MUSHL 49800 - Music Internship ,MUSHL,MUSHL 49800 , Music Internship ,49800 ,Music
MUSPF 12100 - Elementary Guitar I ,MUSPF,MUSPF 12100 , Elementary Guitar I ,12100 ,Music Performance
MUSPF 12200 - Elementary Guitar II ,MUSPF,MUSPF 12200 , Elementary Guitar II ,12200 ,Music Performance
MUSPF 13100 - Elementary Piano I ,MUSPF,MUSPF 13100 , Elementary Piano I ,13100 ,Music Performance
MUSPF 21100 - Voice I ,MUSPF,MUSPF 21100 , Voice I ,21100 ,Music Performance
MUSPF 21200 - Voice II ,MUSPF,MUSPF 21200 , Voice II ,21200 ,Music Performance
MUSPF 21300 - Piano I ,MUSPF,MUSPF 21300 , Piano I ,21300 ,Music Performance
MUSPF 21400 - Piano II ,MUSPF,MUSPF 21400 , Piano II ,21400 ,Music Performance
MUSPF 22100 - College Choir ,MUSPF,MUSPF 22100 , College Choir ,22100 ,Music Performance
MUSPF 23100 - Hunter Symphony ,MUSPF,MUSPF 23100 , Hunter Symphony ,23100 ,Music Performance
MUSPF 24900 - Jazz Ensemble ,MUSPF,MUSPF 24900 , Jazz Ensemble ,24900 ,Music Performance
MUSPF 25000 - Jazz and Popular Music Combos ,MUSPF,MUSPF 25000 , Jazz and Popular Music Combos ,25000 ,Music Performance
MUSPF 25100 - Jazz Vocal Workshop Ensemble ,MUSPF,MUSPF 25100 , Jazz Vocal Workshop Ensemble ,25100 ,Music Performance
MUSPF 34900 - Conducting I ,MUSPF,MUSPF 34900 , Conducting I ,34900 ,Music Performance
MUSPF 35000 - Conducting II ,MUSPF,MUSPF 35000 , Conducting II ,35000 ,Music Performance
MUSPF 35300 - Chamber Singers ,MUSPF,MUSPF 35300 , Chamber Singers ,35300 ,Music Performance
MUSPF 35500 - Chamber Music Workshop ,MUSPF,MUSPF 35500 , Chamber Music Workshop ,35500 ,Music Performance
MUSPF 36100 - Special Studies in Performance of Music ,MUSPF,MUSPF 36100 , Special Studies in Performance of Music ,36100 ,Music Performance
MUSPF 36200 - Special Studies in Performance of Music ,MUSPF,MUSPF 36200 , Special Studies in Performance of Music ,36200 ,Music Performance
MUSPF 36300 - Special Studies in Performance of Music ,MUSPF,MUSPF 36300 , Special Studies in Performance of Music ,36300 ,Music Performance
MUSPF 36500 - Topics in Piano Performance ,MUSPF,MUSPF 36500 , Topics in Piano Performance ,36500 ,Music Performance
MUSPF 36900 - Topics in Vocal Performance ,MUSPF,MUSPF 36900 , Topics in Vocal Performance ,36900 ,Music Performance
MUSPF 37000 - Opera Performance ,MUSPF,MUSPF 37000 , Opera Performance ,37000 ,Music Performance
MUSPF 40100 - Individual Instruction in Instrument or Voice ,MUSPF,MUSPF 40100 , Individual Instruction in Instrument or Voice ,40100 ,Music Performance
MUSPF 40200 - Individual Instruction in Second Instrument or Voice ,MUSPF,MUSPF 40200 , Individual Instruction in Second Instrument or Voice ,40200 ,Music Performance
MUSPF 43100 - Individual Instruction in Instrument or Voice ,MUSPF,MUSPF 43100 , Individual Instruction in Instrument or Voice ,43100 ,Music Performance
MUSTH 20100 - Introduction to Music Technology ,MUSTH,MUSTH 20100 , Introduction to Music Technology ,20100 ,Music Theory
MUSTH 22000 - Music Theory I ,MUSTH,MUSTH 22000 , Music Theory I ,22000 ,Music Theory
MUSTH 22100 - Music Theory II ,MUSTH,MUSTH 22100 , Music Theory II ,22100 ,Music Theory
MUSTH 23000 - Musicianship I ,MUSTH,MUSTH 23000 , Musicianship I ,23000 ,Music Theory
MUSTH 23100 - Musicianship II ,MUSTH,MUSTH 23100 , Musicianship II ,23100 ,Music Theory
MUSTH 32000 - Music Theory III ,MUSTH,MUSTH 32000 , Music Theory III ,32000 ,Music Theory
MUSTH 32100 - Music Theory IV ,MUSTH,MUSTH 32100 , Music Theory IV ,32100 ,Music Theory
MUSTH 33000 - Musicianship III ,MUSTH,MUSTH 33000 , Musicianship III ,33000 ,Music Theory
MUSTH 33100 - Musicianship IV ,MUSTH,MUSTH 33100 , Musicianship IV ,33100 ,Music Theory
MUSTH 33300 - Composition I ,MUSTH,MUSTH 33300 , Composition I ,33300 ,Music Theory
MUSTH 33400 - Composition II ,MUSTH,MUSTH 33400 , Composition II ,33400 ,Music Theory
MUSTH 33500 - Orchestration ,MUSTH,MUSTH 33500 , Orchestration ,33500 ,Music Theory
MUSTH 35100 - Computer Music ,MUSTH,MUSTH 35100 , Computer Music ,35100 ,Music Theory
MUSTH 36100 - Special Topics in Music Theory ,MUSTH,MUSTH 36100 , Special Topics in Music Theory ,36100 ,Music Theory
MUSTH 37000 - Jazz Harmony and Arranging ,MUSTH,MUSTH 37000 , Jazz Harmony and Arranging ,37000 ,Music Theory
MUSTH 37100 - Jazz Improvisation ,MUSTH,MUSTH 37100 , Jazz Improvisation ,37100 ,Music Theory
MUSTH 38500 - Private Lessons in Composition ,MUSTH,MUSTH 38500 , Private Lessons in Composition ,38500 ,Music Theory
MUSTH 49100 - Honors Project ,MUSTH,MUSTH 49100 , Honors Project ,49100 ,Music Theory
MUSTH 49200 - Honors Project ,MUSTH,MUSTH 49200 , Honors Project ,49200 ,Music Theory
MUSIN 20101 - Individual Study Project ,MUSIN,MUSIN 20101 , Individual Study Project ,20101 ,Music Individual Study
MUSIN 20102 - Individual Study Project ,MUSIN,MUSIN 20102 , Individual Study Project ,20102 ,Music Individual Study
MUSIN 20103 - Individual Study Project ,MUSIN,MUSIN 20103 , Individual Study Project ,20103 ,Music Individual Study
MUSIN 30101 - Individual Study Project ,MUSIN,MUSIN 30101 , Individual Study Project ,30101 ,Music Individual Study
MUSIN 30102 - Individual Study Project ,MUSIN,MUSIN 30102 , Individual Study Project ,30102 ,Music Individual Study
MUSIN 30103 - Individual Study Project ,MUSIN,MUSIN 30103 , Individual Study Project ,30103 ,Music Individual Study
MUSIN 40101 - Individual Study Project ,MUSIN,MUSIN 40101 , Individual Study Project ,40101 ,Music Individual Study
MUSIN 40102 - Individual Study Project ,MUSIN,MUSIN 40102 , Individual Study Project ,40102 ,Music Individual Study
MUSIN 40103 - Individual Study Project ,MUSIN,MUSIN 40103 , Individual Study Project ,40103 ,Music Individual Study
NURS 20000 - Introduction to Nursing ,NURS,NURS 20000 , Introduction to Nursing ,20000 ,Nursing
NURS 21000 - Nursing Fundamentals and Health Assessment ,NURS,NURS 21000 , Nursing Fundamentals and Health Assessment ,21000 ,Nursing
NURS 22000 - Adult Health and Illness ,NURS,NURS 22000 , Adult Health and Illness ,22000 ,Nursing
NURS 24000 - Foundations of Genetics for Nurses ,NURS,NURS 24000 , Foundations of Genetics for Nurses ,24000 ,Nursing
NURS 33100 - Pharmacology I ,NURS,NURS 33100 , Pharmacology I ,33100 ,Nursing
NURS 33200 - Normal and Therapeutic Nutrition in the Nursing Process ,NURS,NURS 33200 , Normal and Therapeutic Nutrition in the Nursing Process ,33200 ,Nursing
NURS 33400 - Pathopharmacology ,NURS,NURS 33400 , Pathopharmacology ,33400 ,Nursing
NURS 33900 - Pharmacology II ,NURS,NURS 33900 , Pharmacology II ,33900 ,Nursing
NURS 34300 - Pathophysiology and Nursing Care ,NURS,NURS 34300 , Pathophysiology and Nursing Care ,34300 ,Nursing
NURS 34900 - Foundations of Ethics and End-of-Life Care ,NURS,NURS 34900 , Foundations of Ethics and End-of-Life Care ,34900 ,Nursing
NURS 35200 - Nursing Care of Women and Childbearing Families ,NURS,NURS 35200 , Nursing Care of Women and Childbearing Families ,35200 ,Nursing
"NURS 36000 - Nursing Care of Infants, Children, and Adolescents ",NURS,NURS 36000 ," Nursing Care of Infants, Children, and Adolescents ",36000 ,Nursing
NURS 37900 - Nursing and Societal Forces in the Health Care Delivery System ,NURS,NURS 37900 , Nursing and Societal Forces in the Health Care Delivery System ,37900 ,Nursing
NURS 38000 - Nursing Research and Theory ,NURS,NURS 38000 , Nursing Research and Theory ,38000 ,Nursing
NURS 38100 - Health Assessment Throughout the Lifespan ,NURS,NURS 38100 , Health Assessment Throughout the Lifespan ,38100 ,Nursing
NURS 38400 - Nursing Culturally Diverse Families ,NURS,NURS 38400 , Nursing Culturally Diverse Families ,38400 ,Nursing
NURS 42000 - Nursing Leadership and Ethics ,NURS,NURS 42000 , Nursing Leadership and Ethics ,42000 ,Nursing
NURS 42200 - Health Policy and Leadership ,NURS,NURS 42200 , Health Policy and Leadership ,42200 ,Nursing
NURS 42300 - Foundations of Ethics and Palliative Care ,NURS,NURS 42300 , Foundations of Ethics and Palliative Care ,42300 ,Nursing
NURS 45500 - Public Health Nursing ,NURS,NURS 45500 , Public Health Nursing ,45500 ,Nursing
NURS 46000 - Mental and Behavioral Health Nursing ,NURS,NURS 46000 , Mental and Behavioral Health Nursing ,46000 ,Nursing
